plot_id,a_hhid,resp_id,latitude,longitude,unique_id
p1_6,20690083,206900831,30.6453497369016,74.8010832443833,1206900831
p1_7,20690083,206900831,30.6452363755617,74.8012019321322,1206900831
p1_8,20690083,206900831,30.6450139792646,74.8012954741716,1206900831
p1_9,20690083,206900831,30.6450237866348,74.8009531572461,1206900831
p1_10,20690083,206900831,30.6449909030955,74.8007637262344,1206900831
p1_11,20690083,206900831,30.6449865763132,74.8004763945937,1206900831
p1_12,20690083,206900831,30.6452836815823,74.8003573715686,1206900831
p1_13,20690083,206900831,30.6459373099613,74.8000572994351,1206900831
p1_1,20690097,206900971,30.645373389887,74.7978605702519,1206900971
p1_2,20690097,206900971,30.6453707938279,74.7982555255293,1206900971
p1_3,20690097,206900971,30.6454879048689,74.7982555255293,1206900971
p1_4,20690097,206900971,30.6454879048689,74.7985649853944,1206900971
p1_5,20690097,206900971,30.6463835400372,74.7986330464482,1206900971
p1_6,20690097,206900971,30.6464193075818,74.7979430481791,1206900971
p1_7,20690097,206900971,30.645373389887,74.7978605702519,1206900971
p1_1,20690100,206901001,30.6766874624017,74.7939023002982,1206901001
p1_2,20690100,206901001,30.6766966898432,74.7936391085386,1206901001
p1_3,20690100,206901001,30.6767047638539,74.7934453189373,1206901001
p1_4,20690100,206901001,30.6767122611489,74.7932149842381,1206901001
p1_5,20690100,206901001,30.6767197584433,74.7929222881793,1206901001
p1_6,20690100,206901001,30.6767324461709,74.7926054522395,1206901001
p1_7,20690100,206901001,30.6767255255924,74.7922859340906,1206901001
p1_8,20690100,206901001,30.6767405201786,74.7918108478188,1206901001
p1_9,20690100,206901001,30.676779160063,74.7917800024151,1206901001
p1_10,20690100,206901001,30.6768875823426,74.7917669266462,1206901001
p1_11,20690100,206901001,30.67694150508,74.7918356582522,1206901001
p1_12,20690100,206901001,30.6770138826107,74.791922494769,1206901001
p1_13,20690100,206901001,30.6770946224215,74.7918805852532,1206901001
p1_14,20690100,206901001,30.6771309553144,74.7918500751256,1206901001
p1_15,20690100,206901001,30.6771456614814,74.791975133121,1206901001
p1_16,20690100,206901001,30.6771554655915,74.7920797392725,1206901001
p1_17,20690100,206901001,30.6771713251793,74.7921769693493,1206901001
p1_18,20690100,206901001,30.6771675765497,74.7923647239804,1206901001
p1_19,20690100,206901001,30.6771695950426,74.792564548552,1206901001
p1_20,20690100,206901001,30.6771603676462,74.7927174344658,1206901001
p1_21,20690100,206901001,30.6771459498376,74.7929413989186,1206901001
p1_22,20690100,206901001,30.6771401827135,74.7931610047817,1206901001
p1_23,20690100,206901001,30.6771355690141,74.7934017330408,1206901001
p1_24,20690100,206901001,30.6771211512018,74.7936602309346,1206901001
p1_25,20690100,206901001,30.6771220162705,74.7938362509012,1206901001
p1_26,20690100,206901001,30.6771125005133,74.7939284518361,1206901001
p1_27,20690100,206901001,30.6766874624017,74.7939023002982,1206901001
p1_1,20690188,206901881,30.6573439425586,74.8010735213756,1206901881
p1_2,20690188,206901881,30.6583156088057,74.8010661453008,1206901881
p1_3,20690188,206901881,30.6582962851732,74.8018419742584,1206901881
p1_4,20690188,206901881,30.6573439425586,74.8010735213756,1206901881
p1_1,20810062,208100621,30.7322333641855,74.471923559904,1208100621
p1_2,20810062,208100621,30.7322765929151,74.4753480702638,1208100621
p1_3,20810062,208100621,30.7335137909383,74.4753262773156,1208100621
p1_4,20810062,208100621,30.7336181148534,74.4718953967094,1208100621
p1_5,20810062,208100621,30.7322333641855,74.471923559904,1208100621
p1_1,20810092,208100921,30.737114917981,74.4747016578912,1208100921
p1_2,20810092,208100921,30.7387301365101,74.4746017456054,1208100921
p1_3,20810092,208100921,30.7390750779753,74.4752491638064,1208100921
p1_4,20810092,208100921,30.737437963853,74.4753685221076,1208100921
p1_5,20810092,208100921,30.737114917981,74.4747016578912,1208100921
p1_1,20810100,208101001,30.7432494345911,74.4844384118914,1208101001
p1_2,20810100,208101001,30.743665246623,74.4844732806086,1208101001
p1_3,20810100,208101001,30.7436724505578,74.4850261509418,1208101001
p1_4,20810100,208101001,30.7432442477353,74.4850415736436,1208101001
p1_5,20810100,208101001,30.7432494345911,74.4844384118914,1208101001
p1_1,20810108,208101081,30.7579340324152,74.4969603046774,1208101081
p1_2,20810108,208101081,30.7579337443005,74.4983164966106,1208101081
p1_3,20810108,208101081,30.759060266238,74.4982940331101,1208101081
p1_4,20810108,208101081,30.7590311669881,74.4968510046601,1208101081
p1_5,20810108,208101081,30.7579340324152,74.4969603046774,1208101081
p1_1,20810120,208101201,30.7550704177039,74.4968778267502,1208101201
p1_2,20810120,208101201,30.7550554352921,74.4964248687028,1208101201
p1_3,20810120,208101201,30.7543394461638,74.4964369386434,1208101201
p1_4,20810120,208101201,30.7544068674999,74.4968972727656,1208101201
p1_5,20810120,208101201,30.7550704177039,74.4968778267502,1208101201
p1_1,20810130,208101301,30.7295044393328,74.4795614853501,1208101301
p1_2,20810130,208101301,30.7308030586833,74.4795755669474,1208101301
p1_3,20810130,208101301,30.7307629994487,74.4777395948767,1208101301
p1_4,20810130,208101301,30.729558332672,74.4777895510196,1208101301
p1_5,20810130,208101301,30.7295044393328,74.4795614853501,1208101301
p1_1,20810153,208101531,30.7275901975472,74.4766134023666,1208101531
p1_2,20810153,208101531,30.7276020139711,74.4769466668367,1208101531
p1_3,20810153,208101531,30.7294027047653,74.4769480079412,1208101531
p1_4,20810153,208101531,30.7294266253674,74.4766328483819,1208101531
p1_5,20810153,208101531,30.7275901975472,74.4766134023666,1208101531
p1_1,20810166,208101661,30.729742492037,74.4766123965382,1208101661
p1_2,20810166,208101661,30.7298165591628,74.4776755571365,1208101661
p1_3,20810166,208101661,30.7308197740424,74.4776380062103,1208101661
p1_4,20810166,208101661,30.7308480172289,74.4765681400895,1208101661
p1_5,20810166,208101661,30.729742492037,74.4766123965382,1208101661
p1_1,20810183,208101831,30.7343875722851,74.4801317900419,1208101831
p1_2,20810183,208101831,30.7343645174701,74.4816643372178,1208101831
p1_3,20810183,208101831,30.7349607708506,74.4817183166742,1208101831
p1_4,20810183,208101831,30.7349740272879,74.4811138138175,1208101831
p1_5,20810183,208101831,30.7354939087385,74.4810906797647,1208101831
p1_6,20810183,208101831,30.7355071651024,74.4801317900419,1208101831
p1_7,20810183,208101831,30.7343875722851,74.4801317900419,1208101831
p1_1,20840021,208400211,30.5084372343721,74.820980541408,1208400211
p1_2,20840021,208400211,30.5099872374072,74.8193326592445,1208400211
p1_3,20840021,208400211,30.5115282614008,74.8213480040431,1208400211
p1_4,20840021,208400211,30.5098627412441,74.8229613527655,1208400211
p1_5,20840021,208400211,30.5084372343721,74.820980541408,1208400211
p1_1,20840045,208400451,30.5244900936609,74.8297349363565,1208400451
p1_2,20840045,208400451,30.5249943562311,74.8292568325996,1208400451
p1_3,20840045,208400451,30.5253715406123,74.8288263380527,1208400451
p1_4,20840045,208400451,30.5252245370728,74.8286030441522,1208400451
p1_5,20840045,208400451,30.5250590495215,74.8283945024013,1208400451
p1_6,20840045,208400451,30.5247780377285,74.8286647349595,1208400451
p1_7,20840045,208400451,30.5244973139338,74.8289517313241,1208400451
p1_8,20840045,208400451,30.5241672025081,74.8292786255479,1208400451
p1_9,20840045,208400451,30.5244900936609,74.8297349363565,1208400451
p1_1,20840066,208400661,30.5120398124195,74.8344328254461,1208400661
p1_2,20840066,208400661,30.5129883843734,74.8351600393652,1208400661
p1_3,20840066,208400661,30.5122521154116,74.8360066115856,1208400661
p1_4,20840066,208400661,30.5115256617558,74.8350138589739,1208400661
p1_5,20840066,208400661,30.5120398124195,74.8344328254461,1208400661
p1_1,20840072,208400721,30.5194490569964,74.8281930014491,1208400721
p1_2,20840072,208400721,30.5197439478015,74.8279106989502,1208400721
p1_3,20840072,208400721,30.5200356606461,74.8276183381676,1208400721
p1_4,20840072,208400721,30.520322462619,74.8273172602057,1208400721
p1_5,20840072,208400721,30.5202205079361,74.8271814733743,1208400721
p1_6,20840072,208400721,30.5201098884282,74.8270574212074,1208400721
p1_7,20840072,208400721,30.5198054675139,74.8267053812742,1208400721
p1_8,20840072,208400721,30.5196691420894,74.8268415033817,1208400721
p1_9,20840072,208400721,30.5194981573885,74.8270393162965,1208400721
p1_10,20840072,208400721,30.5192936685335,74.8272491991519,1208400721
p1_11,20840072,208400721,30.5190796479576,74.8274641111493,1208400721
