plot_id,a_hhid,resp_id,latitude,longitude
p1_1,10010013,100100131,30.3053862400232,74.7464003786444
p1_2,10010013,100100131,30.3055732310132,74.7460275515913
p1_3,10010013,100100131,30.3059721053386,74.7460651025176
p1_4,10010013,100100131,30.3059703685889,74.7464265301823
p1_5,10010013,100100131,30.3065194694235,74.7464275360107
p1_6,10010013,100100131,30.3065055755025,74.7471285983920
p1_7,10010013,100100131,30.3057723789199,74.7471108287572
p1_8,10010013,100100131,30.3057628267766,74.7464084252715
p1_9,10010013,100100131,30.3053862400232,74.7464003786444
p1_1,10010033,100100331,30.3091977753689,74.7380613908171
p1_2,10010033,100100331,30.3095320881137,74.7380499914288
p1_3,10010033,100100331,30.3097303596358,74.7377093508839
p1_4,10010033,100100331,30.3097294912942,74.7372915968298
p1_5,10010033,100100331,30.3091861974179,74.7372976318001
p1_6,10010033,100100331,30.3091977753689,74.7380613908171
p1_1,10010034,100100341,30.3357149291447,74.7706606239080
p1_2,10010034,100100341,30.3364794428033,74.7706723585724
p1_3,10010034,100100341,30.3364985410999,74.7679207473993
p1_4,10010034,100100341,30.3354712789499,74.7679428756237
p1_5,10010034,100100341,30.3355314681280,74.7683472186326
p1_6,10010034,100100341,30.3356032320998,74.7693101316690
p1_7,10010034,100100341,30.3357149291447,74.7706606239080
p1_1,10010039,100100391,30.3126499699010,74.7812804952263
p1_2,10010039,100100391,30.3126687834057,74.7801948711276
p1_3,10010039,100100391,30.3121778944691,74.7801828011870
p1_4,10010039,100100391,30.3121938136653,74.7806997969746
p1_5,10010039,100100391,30.3126499699010,74.7812804952263
p1_1,10010068,100100681,30.3012523744224,74.7439337521791
p1_2,10010068,100100681,30.3038005652481,74.7437181696295
p1_3,10010068,100100681,30.3037473037298,74.7452218830585
p1_4,10010068,100100681,30.3010867961735,74.7452688217163
p1_5,10010068,100100681,30.3010184805907,74.7439612448215
p1_6,10010068,100100681,30.3012523744224,74.7439337521791
p1_1,10010075,100100751,30.3026725148418,74.8050358146429
p1_2,10010075,100100751,30.3026565940991,74.8064865544438
p1_3,10010075,100100751,30.3032277129430,74.8062019050121
p1_4,10010075,100100751,30.3032323444051,74.8050562664866
p1_5,10010075,100100751,30.3026725148418,74.8050358146429
p1_1,10010116,100101161,30.3472722801153,74.7469643130898
p1_2,10010116,100101161,30.3471956059779,74.7469401732087
p1_3,10010116,100101161,30.3473900398999,74.7462780028581
p1_4,10010116,100101161,30.3484108116530,74.7462689504027
p1_5,10010116,100101161,30.3484093649886,74.7496669739484
p1_6,10010116,100101161,30.3472853002459,74.7497367113828
p1_7,10010116,100101161,30.3472722801153,74.7469643130898
p1_1,10010122,100101221,30.3066476986429,74.7775673121213
p1_2,10010122,100101221,30.3066618820000,74.7764786705374
p1_3,10010122,100101221,30.3056004401987,74.7764756530523
p1_4,10010122,100101221,30.3056172288413,74.7775542363524
p1_5,10010122,100101221,30.3066476986429,74.7775673121213
p1_1,10010127,100101271,30.3154279618458,74.7847697138786
p1_2,10010127,100101271,30.3164629593371,74.7861000895500
p1_3,10010127,100101271,30.3164748258557,74.7847355157136
p1_4,10010127,100101271,30.3158814981659,74.7847318276762
p1_5,10010127,100101271,30.3156059613538,74.7847438976168
p1_6,10010127,100101271,30.3154279618458,74.7847697138786
p1_1,10010145,100101451,30.3053989762629,74.7652586549520
p1_2,10010145,100101451,30.3053972395030,74.7659248486161
p1_3,10010145,100101451,30.3042877331193,74.7659251838922
p1_4,10010145,100101451,30.3043149426617,74.7652677074074
