resp_id,a_hhid,plot,plot_id,crop_burned_plotlevel,land_plot_burn_perc,crop_burning,land_plot_name,land_plot_area,land_plot_unit,land_plot_unit_other,land_plot_tenure,land_plot_dist,land_plot_dist_unit,land_plot_soil,land_plot_irri,land_plot_seccrop,land_plot_paddy,land_plot_cult18,land_plot_paddy18,land_plot_paddy18_area,land_plot_burn,land_plot_crm,land_crm_labor,land_crm_equip,land_crm_oth,field_points,field_name
100200391,10020039,1,p1,1,,2,Rohi wala,1.4,1,,1,1.5,1,1,1.4,1,1.4,1,1,1.4,1,0,1000,1200,600,30.501737216585834 75.27420479804277;30.502707843597094 75.27420043945312;30.50269253318668 75.27360331267118;30.501714395179437 75.27360767126083;30.501737216585834 75.27420479804277,Rohi wala
100200391,10020039,2,p2,1,,2,Tibyi wala,1.4,1,,3,1.5,1,1,1.4,1,1.4,1,1,1.4,1,0,2000,1200,600,30.518721212982143 75.26238363236189;30.518677888761804 75.26167921721935;30.517631747391658 75.26168625801803;30.51762250478932 75.26242654770611;30.518721212982143 75.26238363236189,Tibyi wala
100200461,10020046,1,p1,1,,1,Moter vala,4,1,,1,2,1,4,4,1,4,1,1,4,1,0,0,0,500,30.504391685156484 75.25480069220067;30.505413126388643 75.2548697590828;30.50543392485433 75.25557819753885;30.50539926074239 75.256302729249;30.504830767543798 75.25629501789808;30.50479899191127 75.25608010590076;30.504248694082666 75.25616895407438;30.504391685156484 75.25480069220067,Moter vala
100200461,10020046,2,p2,1,,1,Salabet road te,4,1,,1,3,1,4,4,1,4,1,1,4,1,0,0,0,500,30.502558783649917 75.25285005569458;30.50253134041769 75.25161489844322;30.50416289933749 75.25129705667496;30.504333911010548 75.2528041228652;30.502558783649917 75.25285005569458,Salabet road te
100200541,10020054,1,p1,2,,2,Theke wala khet(1),1,1,,3,1,1,1,1,-98,1,1,1,1,0,1,15000,0,0,30.516466883744044 75.25822386145592;30.516443776959704 75.25759957730772;30.51681868385729 75.25758381932974;30.51685132206269 75.25822017341852;30.516466883744044 75.25822386145592,Theke wala khet(1)
100200541,10020054,2,p2,2,,2,Theke wala khet(2),2,1,,3,1,1,1,2,-98,2,1,1,2,0,1,30000,0,0,30.51641402696678 75.25825202465057;30.51644262162034 75.25898192077875;30.515412631116686 75.25901678949594;30.515401366437832 75.25830700993538;30.51641402696678 75.25825202465057,Theke wala khet(2)
100200541,10020054,3,p3,2,,2,Drain wala khet,2,1,,1,2,1,1,2,-98,2,1,1,2,0,1,30000,0,0,30.51642153667459 75.2582661062479;30.516436556088472 75.25896951556206;30.517280816718138 75.25894805788994;30.517385951637205 75.25891218334435;30.517489642283916 75.25883473455906;30.517674783247113 75.2587066590786;30.517851836599654 75.25858830660582;30.517835662081666 75.25844346731903;30.517824686514338 75.25826040655375;30.517560117200695 75.25827683508396;30.517328185212225 75.25829896330833;30.51686258657351 75.25829292833805;30.51642153667459 75.2582661062479,Drain wala khet
100200621,10020062,1,p1,0,,0,Samne vala,3,1,,1,1,1,4,3,1,3,1,1,3,0,0,3000,0,3000,30.515617994648462 75.26753146201372;30.516951547279813 75.26749759912491;30.51676698260682 75.26706006377934;30.51657490788801 75.26657961308956;30.51652956086894 75.26648439466955;30.515572069508128 75.26651188731194;30.515579001606188 75.26684012264013;30.515574380207543 75.26712343096733;30.51558593370374 75.26738997548819;30.515612795577066 75.26746205985546;30.515617994648462 75.26753146201372,Samne vala
100200701,10020070,1,p1,2,,0,Kayara wala,2,1,,1,1.5,1,6,2,1,2,1,1,2,0,1,0,0,3000,30.51514516685098 75.25257781147957;30.515143144980083 75.25311928242445;30.515673162555657 75.25309044867754;30.515617994648462 75.2525979280472;30.51402937656003 75.25276556611061;30.514031109612088 75.2531273290515;30.515118304848425 75.2531548216939;30.51514516685098 75.25257781147957,Kayara wala
100200701,10020070,2,p2,2,,0,Khye wala,4,1,,1,1.5,1,1,4,1,4,1,1,4,0,1,0,0,6000,30.508806394995933 75.24884585291147;30.509884116466782 75.24879958480597;30.51001727822083 75.25083336979151;30.509439279783937 75.25087527930737;30.50938497490667 75.24944230914116;30.508761910926175 75.24949595332146;30.508806394995933 75.24884585291147,Khye wala
100200771,10020077,1,p1,2,,0,rohi wala khet,2,1,,1,1,1,2,2,-98,2,1,1,2,0,1,0,2000,0,30.507927975280207 75.27141898870468;30.50792710869976 75.27117189019918;30.507909777089722 75.2709948644042;30.506251994309125 75.27106661349535;30.50627828103132 75.27149442583323;30.507927975280207 75.27141898870468,rohi wala khet
100201341,10020134,1,p1,3,0,2,Niai wala khet,4,4,,1,5,2,6,4,-98,4,1,1,4,1,1,8000,0,0,30.508167151181347 75.25650255382061;30.50765124687301 75.25655888020992;30.507663379032635 75.25746043771505;30.507635070657827 75.25759689509867;30.50791093253048 75.25756537914276;30.507978525791415 75.25747619569302;30.50805102962164 75.25756001472473;30.50817292836975 75.25754425674677;30.508167151181347 75.25650255382061,Niai wala khet
100201341,10020134,2,p2,2,,2,Sedo wala road,1.5,1,,1,2,1,1,1.5,-98,1.5,1,1,1.5,0,1,15000,0,0,30.513500216552934 75.27033805847167;30.51314320522666 75.27038935571909;30.513138006022903 75.27036052197218;30.513178733111577 75.27032364159822;30.51318855382543 75.27028910815716;30.51317208968692 75.27027100324631;30.513153314788745 75.27027871459723;30.513129918372076 75.27028307318687;30.513109121552546 75.27030151337385;30.51308283667703 75.27029011398554;30.5130317111296 75.27016874402761;30.512952856418956 75.2699712663889;30.51289999773097 75.26982709765434;30.512549916514576 75.2689054235816;30.513433204818178 75.26889469474554;30.513500216552934 75.27033805847167,Sedo wala road
100201341,10020134,3,p3,2,,2,Sarane wala khet,1.5,1,,1,2.5,1,5,1.5,-98,1.5,1,1,1.5,0,1,15000,0,0,30.508818815868935 75.24307172745466;30.508792818691102 75.24249102920294;30.508459765342394 75.24250309914349;30.508422791439763 75.24308748543262;30.508646656650782 75.2430797740817;30.50865821097026 75.24304054677486;30.508691718489008 75.2429936081171;30.508771154370926 75.2430009841919;30.508795129551633 75.24302177131176;30.508818815868935 75.24307172745466,Sarane wala khet
100201401,10020140,1,p1,1,,1,Roohiawala,2,1,,1,3,1,6,2,1,2,1,1,2,1,0,500,50011,1000,30.503038894523076 75.2791005000472;30.50304640526401 75.27944684028625;30.502994407814988 75.27948405593634;30.50295367646048 75.27949880808592;30.502985163821144 75.27969997376204;30.503250350545763 75.27967818081379;30.50327230496985 75.27966007590294;30.503289059658595 75.2796221897006;30.50332054691066 75.27957860380411;30.503330079746426 75.2790817245841;30.503038894523076 75.2791005000472,Roohiawala
101000091,10100009,1,p1,3,3,,Ghar ala,3,1,,1,2,2,5,3,-99,1,1,1,1,1,1,300,0,1000,30.36376537112544 74.89530120044947;30.36177939240837 74.89511914551258;30.361752488122704 74.89578265696764;30.363656309684476 74.8959194496274;30.36376537112544 74.89530120044947,Ghar ala
101000111,10100011,1,p1,1,,,Beed ala,6,4,,1,1.5,1,5,4,-99,4,1,1,4,1,0,0,100,2000,30.37076153857455 74.87684324383736;30.370699924730154 74.87746987491846;30.37177512413182 74.87754866480827;30.371813885471347 74.87689588218926;30.37076153857455 74.87684324383736,Beed ala
101000781,10100078,1,p1,2,,,Ghar wala khet,1,1,,1,.1,1,5,1,-99,1,1,1,1,0,1,1000,1200,3000,30.368548911908363 74.89053625613451;30.368565979033345 74.89115584641695;30.367745596571208 74.89112835377456;30.367728529303015 74.8909566923976;30.36804615356833 74.8910116776824;30.368037764598263 74.89044439047575;30.368548911908363 74.89053625613451,Ghar wala khet
101001251,10100125,1,p1,1,,,Neaii wala,5,1,,1,2,2,1,5,-99,5,1,1,5,1,0,-97,-97,-97,30.365188076606103 74.88410297781229;30.36419525137666 74.88403256982565;30.364279144341275 74.88259591162205;30.365728166983725 74.882743768394;30.365684774722947 74.8834703117609;30.365236965466874 74.88342169672251;30.365188076606103 74.88410297781229,Neaii wala
101001251,10100125,2,p2,1,,,Tarpena wala,3,1,,1,10,2,2,3,-99,3,1,1,3,1,0,-97,-97,-97,30.35733603485063 74.88188210874796;30.356832061635856 74.88146267831326;30.356689722002816 74.88346796482801;30.35722175871783 74.88350450992584;30.35733603485063 74.88188210874796,Tarpena wala
101001891,10100189,1,p1,1,,,Gilla wali Patti Walla khet,37,4,,1,3,1,5,37,-99,37,1,1,37,1,0,300,300,130,30.351013037049196 74.88727200776339;30.350933761913904 74.88874655216932;30.35042744110406 74.888756275177;30.35035395203736 74.88915391266346;30.34982390327604 74.88912474364042;30.3499367414079 74.88720428198576;30.351013037049196 74.88727200776339,Gilla wali Patti Walla khet
101001891,10100189,2,p2,1,,,Phatha wala khet,7,4,,1,1,1,5,7,-99,4,1,1,4,1,0,300,300,135,30.370603020248417 74.90095797926188;30.370708024204855 74.90113902837038;30.370736083094258 74.9014062434435;30.369867700126292 74.90151889622211;30.3698804279803 74.9010381102562;30.370603020248417 74.90095797926188,Phatha wala khet
101001891,10100189,3,p3,1,,,Tihbia wala khet,12,4,,1,1.5,1,1,12,-99,12,1,1,12,1,0,300,300,130,30.366635350106986 74.90171603858471;30.366714033960847 74.90061901509762;30.36616932054224 74.90063309669495;30.36610596812078 74.90173012018204;30.366635350106986 74.90171603858471,Tihbia wala khet
101002291,10100229,1,p1,1,,,Tarpan a,5,1,,1,3,1,4,5,1,5,1,1,5,1,0,0,2000,0,30.34931728739321 74.88854102790356;30.34938122934829 74.88786846399307;30.347165514979316 74.88768272101879;30.346558774311404 74.8882929235697;30.348566472623073 74.8884779959917;30.348582385905313 74.8881470784545;30.348769873108505 74.88812059164047;30.348779131726513 74.88847263157368;30.34931728739321 74.88854102790356,Tarpan a
101002291,10100229,2,p2,0,,,Tarpan b,7,1,,3,3,1,4,7,1,7,1,1,0,0,0,0,0,0,30.343485084608893 74.89335626363754;30.343392493380946 74.8945277184248;30.344996045332607 74.89454213529827;30.34518730085795 74.8925707116723;30.343485084608893 74.89335626363754,Tarpan b
101002401,10100240,1,p1,2,,,Pati1,1.7,1,,1,2,1,5,1.7,1,1.7,1,1,1.7,0,1,0,72000,8000,30.372957627334443 74.90351378917694;30.37291018863595 74.90429397672415;30.3719576494099 74.90417562425137;30.37199120394058 74.9034832790494;30.372957627334443 74.90351378917694,Pati1
101002401,10100240,2,p2,2,,,Pati2,1.7,1,,1,2,1,5,1.7,1,1.7,1,1,1.7,0,1,0,72000,36000,30.372953577690346 74.90498330444098;30.37304585168201 74.90367371588945;30.374094413651136 74.90373775362968;30.37401313242197 74.90505538880825;30.372953577690346 74.90498330444098,Pati2
101002401,10100240,3,p3,2,,,Pati3,2,1,,1,2,1,5,2,1,2,1,1,2,0,1,0,72000,9000,30.37318122528022 74.90128722041845;30.37306581062174 74.90276914089917;30.373618006338155 74.90280836820602;30.373657634721695 74.90213278681038;30.373589948275878 74.90209020674229;30.3736292874125 74.90122519433498;30.37318122528022 74.90128722041845,Pati3
101002401,10100240,4,p4,2,,,Pati4,4,4,,1,2,1,1,4,1,4,1,1,4,0,1,0,4000,4000,30.36990038756624 74.90164294838905;30.369886213367945 74.90122251212597;30.369617771020682 74.90121345967054;30.369622977883544 74.9016473069787;30.36990038756624 74.90164294838905,Pati4
101002401,10100240,5,p5,2,,,Pati5,6,4,,1,2,1,1,6,1,6,1,1,6,0,1,0,5000,4000,30.369782654877326 74.90068808197974;30.369561652591997 74.90059185773134;30.36960070407928 74.90037426352501;30.369846004916752 74.90050569176674;30.369782654877326 74.90068808197974,Pati5
101002401,10100240,6,p6,2,,,Patient 6,1.4,1,,1,2,1,1,1.4,1,1.4,1,1,1.4,0,1,0,9000,9000,30.36770220520561 74.90199364721775;30.367714644065718 74.90121949464083;30.367211881436237 74.90119770169258;30.3672523802478 74.90131705999376;30.367189896360077 74.9012553691864;30.36668076689801 74.90115780383348;30.366715191075848 74.90143273025751;30.367194235520245 74.9014474824071;30.367197417570907 74.90208048373461;30.36770220520561 74.90199364721775,Patient 6
101200141,10120014,1,p1,1,,1,Nhai wala khet,40,4,,1,1,1,5,40,1,39,1,1,39,1,0,2500,10000,10000,30.512110291287367 75.17125759273767;30.51320963947243 75.16920872032642;30.511733344289464 75.16918994486332;30.511696660480577 75.17126496881247;30.512110291287367 75.17125759273767,Nhai wala khet
101200211,10120021,1,p1,,,1,Pkd wad,1,1,,1,10,2,5,1,1,1,0,,,,,,,,30.5176505214249 75.16929723322392;30.518117271608855 75.16932774335146;30.518143555123096 75.16860455274582;30.517423788626953 75.16862869262695;30.5176505214249 75.16929723322392,Pkd wad
101200271,10120027,1,p1,1,,-98,Bagta wala kait,2,1,,1,3,1,2,2,1,2,1,1,2,1,0,7000,2400,7000,30.510179902848822 75.14375522732735;30.509223793230557 75.14410827308893;30.509046724163706 75.14419745653868;30.508728403431626 75.14439526945351;30.5086934516362 75.14442645013332;30.508712516253443 75.14469970017672;30.510773783726982 75.14468830078839;30.510179902848822 75.14375522732735,Bagta wala kait
101200271,10120027,2,p2,1,,-98,Bagta wala,2,1,,3,3,1,2,2,1,2,1,1,2,1,0,7000,2400,5000,30.509709937150927 75.14388665556908;30.51015246176728 75.14370895922185;30.50950253915063 75.14260523021221;30.509314782919255 75.14283925294876;30.509709937150927 75.14388665556908,Bagta wala
101200291,10120029,1,p1,1,,1,Khhu wala,2,1,,1,2,1,5,2,1,2,1,1,2,1,0,2000,2000,10000,30.512339924949064 75.15733994543552;30.51232721567881 75.15769869089127;30.5119063645872 75.15768360346557;30.511914452339834 75.15743046998978;30.511948825280996 75.15743214637041;30.511954024548338 75.15732552856208;30.512339924949064 75.15733994543552,Khhu wala
101200291,10120029,2,p2,,,1,Kayarawala,2,1,,3,2,1,5,2,1,2,0,,,,,,,,30.51013888565038 75.15379708260299;30.510457201764783 75.15381518751383;30.51043004961419 75.1552364230156;30.509734200954927 75.15520054847002;30.5097483548378 75.15481498092413;30.510133975139542 75.15487499535084;30.51013888565038 75.15379708260299,Kayarawala
101201601,10120160,1,p1,3,1,2,Naie Vala khat,1.5,1,,1,1.5,1,2,1.5,1,1.5,1,1,1.5,1,1,1500,0,1560,30.52256168396735 75.15716224908829;30.52211892702163 75.15713509172201;30.522146942361072 75.15751160681248;30.522549264850245 75.157515630126;30.52256168396735 75.15716224908829,Naie Vala khat
101201601,10120160,2,p2,3,2,2,2Naie Vala khat,2,1,,1,1.5,1,1,2,1,2,1,1,2,1,1,2400,200,1500,30.521960654642935 75.15648733824492;30.521969608014306 75.15541713684797;30.5214829477617 75.15542484819889;30.52143904713244 75.15608634799719;30.521146183216626 75.15612456947566;30.521130875709577 75.15677064657211;30.521436736572433 75.15676058828831;30.521430093712183 75.1564310118556;30.521960654642935 75.15648733824492,2Naie Vala khat
101201601,10120160,3,p3,3,1,2,Rhoi Vala khat,1.5,1,,1,3,1,6,1.5,1,1.5,1,1,1.5,1,1,1500,200,1500,30.52344026027036 75.13544406741858;30.52375189012757 75.13545278459787;30.52374004878891 75.13651058077812;30.523441126712488 75.13650789856912;30.52344026027036 75.13544406741858,Rhoi Vala khat
101201651,10120165,1,p1,1,,2,Jlal ala,1,1,,1,1.5,1,5,1,1,1,1,1,1,1,0,3000,2000,800,30.510670952472733 75.16570843756199;30.50929831812476 75.16568060964347;30.50934482394064 75.16642123460771;30.510684817367277 75.16647353768349;30.510670952472733 75.16570843756199,Jlal ala
101202141,10120214,1,p1,0,,-98,Thraj wala kait,3,1,,1,5,2,4,3,1,3,1,1,3,0,0,7000,5000,8000,30.520234082645107 75.15466947108507;30.520086493685948 75.15464600175619;30.518455490793386 75.15463795512913;30.51844335998048 75.15533700585365;30.520007644698115 75.1553463935852;30.520234082645107 75.15466947108507,Thraj wala kait
101202141,10120214,2,p2,0,,-98,Thraj wala kait,1,1,,3,5,2,4,1,1,1,1,1,1,0,0,2000,1600,2000,30.520019775315784 75.15536181628704;30.5199752963769 75.15550330281258;30.51844509295384 75.15560757368803;30.518448558900456 75.15534505248071;30.520019775315784 75.15536181628704,Thraj wala kait
101400021,10140002,1,p1,1,,1,Rohi wala 1,1,1,,1,2,1,1,1,-98,1,1,1,1,1,0,1000,500,3000,30.04334426795863 74.83060967177153;30.04330798910926 74.83091879636049;30.043841431971877 74.8310113325715;30.043836498073915 74.83106262981892;30.044199864490793 74.83110219240189;30.04431189252625 74.83081050217152;30.04334426795863 74.83060967177153,Rohi wala 1
